i,j,distance
0,5,1
0,11,2
0,18,1
0,19,3
0,20,1
1,20,1
1,22,4
2,12,2
2,13,5
2,18,3
2,19,4
2,20,1
2,22,6
2,24,1
3,4,3
3,7,5
3,8,1
3,10,1
3,12,3
3,14,3
3,18,4
3,20,1
3,23,4
4,8,2
4,10,3
4,12,2
4,16,5
4,18,3
4,19,6
5,8,5
5,9,1
5,12,2
5,14,6
5,15,1
5,16,1
5,23,2
6,10,4
6,12,4
6,13,5
6,19,6
6,23,4
6,24,5
7,9,4
7,10,5
7,12,4
7,23,4
8,9,4
8,10,6
8,11,5
8,13,3
8,16,2
8,21,4
8,22,1
9,15,5
9,20,1
9,24,6
10,20,3
10,21,6
11,14,1
11,19,2
11,20,5
11,22,6
12,13,5
12,18,2
12,19,3
13,15,3
13,16,5
13,21,5
14,16,5
14,20,6
14,21,4
16,20,4
16,21,2
16,23,3
17,18,1
17,20,4
18,19,3
18,24,2
20,23,2
