sommet_source,sommet_cible,distance
5,8,5.0
5,9,1.0
5,14,6.0
5,15,1.0
5,16,1.0
11,8,5.0
11,14,1.0
11,20,5.0
11,22,6.0
18,2,3.0
18,3,4.0
18,4,3.0
18,17,1.0
18,24,2.0
20,1,1.0
20,2,1.0
20,3,1.0
20,9,1.0
20,10,3.0
20,14,6.0
20,16,4.0
20,17,4.0
1,22,4.0
22,2,6.0
22,8,1.0
2,13,5.0
2,24,1.0
13,6,5.0
13,8,3.0
13,15,3.0
13,16,5.0
13,21,5.0
24,6,5.0
24,9,6.0
3,4,3.0
3,8,1.0
3,10,1.0
3,14,3.0
4,8,2.0
4,10,3.0
4,16,5.0
8,9,4.0
8,10,6.0
8,16,2.0
8,21,4.0
10,6,4.0
10,21,6.0
14,16,5.0
14,21,4.0
16,21,2.0
9,15,5.0
